epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0488,1.45318,4.52429,1.13443,0.65714,0.16427,0.13778,0.06396,2.14227,4.94668,1.16795,0.0004,0.0004,0.0964
2,67.0286,1.71612,2.91015,1.03668,0.00093,0.00199,0.00048,0.00019,3.41632,30.1958,2.24796,0.0008703,0.0008703,0.0918703
3,107.932,1.45217,2.13018,0.97651,0,0,0,0,3.71492,115.776,5.05978,0.0013076,0.0013076,0.0873076
4,146.605,1.49962,2.02052,1.00988,0,0,0,0,5.14892,inf,316.828,0.0017119,0.0017119,0.0827119
5,191.231,1.45588,1.63852,1.00816,0,0,0,0,4.38,inf,975.336,0.0020832,0.0020832,0.0780832
6,227.157,1.37972,1.38747,0.9906,0,0,0,0,nan,nan,nan,0.0024215,0.0024215,0.0734215
7,262.653,1.383,1.29921,0.96075,0,0,0,0,nan,nan,nan,0.0027268,0.0027268,0.0687268
8,300.105,1.47174,1.35699,0.97107,0,0,0,0,nan,nan,nan,0.0029991,0.0029991,0.0639991
9,342.372,1.37659,1.22452,0.98279,0,0,0,0,nan,nan,nan,0.0032384,0.0032384,0.0592384
10,397.232,1.33954,1.16644,0.96297,0,0,0,0,nan,nan,nan,0.0034447,0.0034447,0.0544447
11,432.32,1.21448,1.09301,0.96578,0,0,0,0,nan,nan,nan,0.003618,0.003618,0.049618
12,474.019,1.18316,0.97876,0.92929,0,0,0,0,nan,nan,nan,0.0037583,0.0037583,0.0447583
13,509.291,1.24397,1.00131,0.93666,0,0,0,0,nan,nan,nan,0.0038656,0.0038656,0.0398656
14,552.853,1.12889,0.94312,0.93962,0,0,0,0,nan,nan,nan,0.0039399,0.0039399,0.0349399
15,600.63,1.08704,0.89989,0.91674,0,0,0,0,nan,nan,nan,0.0039812,0.0039812,0.0299812
16,638.857,1.0512,0.83151,0.92957,0,0,0,0,nan,nan,nan,0.0039895,0.0039895,0.0249895
17,682.031,1.10813,0.833,0.93612,0.00027,0.00101,0.00014,1e-05,4.57724,inf,212.437,0.0039648,0.0039648,0.0199648
18,720.52,1.09618,0.83316,0.92167,0.00027,0.00101,0.00014,1e-05,4.57724,inf,212.437,0.0039071,0.0039071,0.0149071
19,760.608,1.12352,0.83922,0.91162,0,0,0,0,5.0907,inf,284.618,0.0038164,0.0038164,0.0098164
20,797.946,1.10624,0.85764,0.93462,0.0832,0.0141,0.05224,0.02662,4.12536,inf,32.6019,0.0036927,0.0036927,0.0046927
21,929.703,1.02588,0.8315,0.89108,0.0832,0.0141,0.05224,0.02662,4.12536,inf,32.6019,0.0034,0.0034,0.0034
22,35.466,1.43609,2.0207,1.66348,0,0,0,0,nan,nan,nan,0.00307,0.00307,0.00307
23,77.4171,1.61839,2.32564,2.12934,0,0,0,0,nan,nan,nan,0.00274,0.00274,0.00274
24,114.861,1.48895,2.07953,1.86712,0,0,0,0,nan,nan,nan,0.00241,0.00241,0.00241
25,157.027,1.55761,2.20742,1.84015,0,0,0,0,nan,nan,nan,0.00208,0.00208,0.00208
26,208.276,1.60282,2.22499,1.99421,0,0,0,0,nan,nan,nan,0.00175,0.00175,0.00175
27,245.287,1.4619,1.90808,2.01387,0,0,0,0,nan,nan,nan,0.00142,0.00142,0.00142
28,284.778,1.57426,1.84296,2.00564,0,0,0,0,nan,nan,nan,0.00109,0.00109,0.00109
29,325.443,1.69931,1.56629,1.97174,0,0,0,0,nan,nan,nan,0.00076,0.00076,0.00076
30,359.22,1.52041,1.43307,2.134,0,0,0,0,nan,nan,nan,0.00043,0.00043,0.00043
