epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5742,2.02524,5.10382,1.39295,0.23198,0.1143,0.06708,0.03754,1.59985,4.81496,1.17789,0,0,0
2,51.0479,2.05057,4.95866,1.42845,0.23212,0.1146,0.06764,0.03764,1.6036,4.70668,1.1736,4.901e-06,4.901e-06,4.901e-06
3,84.9462,2.04035,5.0204,1.36745,0.29868,0.11538,0.06602,0.03702,1.59824,4.50529,1.16844,9.604e-06,9.604e-06,9.604e-06
4,103.234,1.86584,4.78634,1.32024,0.29874,0.13606,0.06902,0.03865,1.57754,4.22239,1.16128,1.4109e-05,1.4109e-05,1.4109e-05
5,123.18,1.84546,4.4896,1.38236,0.41857,0.15128,0.07102,0.04017,1.54875,3.88632,1.15192,1.8416e-05,1.8416e-05,1.8416e-05
6,140.247,1.80158,4.29708,1.24995,0.08186,0.25278,0.11107,0.08258,1.51966,3.51664,1.14479,2.2525e-05,2.2525e-05,2.2525e-05
7,158.813,1.84505,4.17343,1.2743,0.32602,0.22842,0.14163,0.11143,1.51065,3.18118,1.14915,2.6436e-05,2.6436e-05,2.6436e-05
8,174.828,1.74694,3.74462,1.2436,0.58487,0.25661,0.14885,0.12002,1.53284,2.87063,1.15904,3.0149e-05,3.0149e-05,3.0149e-05
9,189.71,1.84843,3.6513,1.23166,0.58952,0.26675,0.17678,0.13896,1.52789,2.62391,1.16704,3.3664e-05,3.3664e-05,3.3664e-05
10,204.94,1.79435,3.15433,1.17946,0.67149,0.31903,0.20948,0.1694,1.52315,2.50379,1.17151,3.6981e-05,3.6981e-05,3.6981e-05
11,220.806,1.62817,2.67374,1.20031,0.71606,0.26068,0.26677,0.22732,1.49515,2.55711,1.16427,4.01e-05,4.01e-05,4.01e-05
12,237.146,1.58581,2.65755,1.14417,0.69143,0.27828,0.27409,0.22942,1.50141,2.68698,1.17566,4.3021e-05,4.3021e-05,4.3021e-05
13,252.844,1.60982,2.43818,1.11404,0.69649,0.32765,0.30264,0.23717,1.5053,2.93488,1.18265,4.5744e-05,4.5744e-05,4.5744e-05
14,267.933,1.71577,2.05631,1.13909,0.73226,0.36179,0.32599,0.24946,1.49624,3.09455,1.18599,4.8269e-05,4.8269e-05,4.8269e-05
15,282.88,1.50837,1.97963,1.08766,0.65478,0.36496,0.32898,0.2552,1.50118,3.06908,1.18712,5.0596e-05,5.0596e-05,5.0596e-05
16,297.665,1.54488,1.83213,1.1406,0.64516,0.37981,0.33077,0.25186,1.47932,3.00267,1.17984,5.2725e-05,5.2725e-05,5.2725e-05
17,312.663,1.5348,1.65826,1.1766,0.74035,0.35924,0.36557,0.27577,1.46826,2.8585,1.18377,5.4656e-05,5.4656e-05,5.4656e-05
18,327.249,1.46486,1.61722,1.1098,0.74035,0.35924,0.36557,0.27577,1.46826,2.8585,1.18377,5.6389e-05,5.6389e-05,5.6389e-05
19,342.273,1.45708,1.6849,1.08893,0.76995,0.35346,0.41289,0.3193,1.46981,2.60593,1.19129,5.7924e-05,5.7924e-05,5.7924e-05
20,356.775,1.45869,1.56425,1.07928,0.76995,0.35346,0.41289,0.3193,1.46981,2.60593,1.19129,5.9261e-05,5.9261e-05,5.9261e-05
21,371.769,1.42008,1.49918,1.06441,0.79801,0.34764,0.46893,0.35423,1.47216,2.34229,1.19381,6.04e-05,6.04e-05,6.04e-05
22,386.844,1.43556,1.39223,1.1306,0.79801,0.34764,0.46893,0.35423,1.47216,2.34229,1.19381,6.1341e-05,6.1341e-05,6.1341e-05
23,402.121,1.55752,1.43161,1.17682,0.80792,0.40308,0.51973,0.40045,1.47905,2.16025,1.19876,6.2084e-05,6.2084e-05,6.2084e-05
24,417.785,1.51448,1.40805,1.12503,0.80792,0.40308,0.51973,0.40045,1.47905,2.16025,1.19876,6.2629e-05,6.2629e-05,6.2629e-05
25,433.36,1.36935,1.42922,1.12529,0.86373,0.39812,0.54476,0.41621,1.48001,2.05038,1.20147,6.2976e-05,6.2976e-05,6.2976e-05
26,449.186,1.47209,1.29922,1.07497,0.86373,0.39812,0.54476,0.41621,1.48001,2.05038,1.20147,6.3125e-05,6.3125e-05,6.3125e-05
27,466.355,1.43895,1.35243,1.03755,0.55628,0.67487,0.62147,0.47189,1.46695,1.97919,1.19633,6.3076e-05,6.3076e-05,6.3076e-05
28,481.556,1.43775,1.24434,1.07059,0.55628,0.67487,0.62147,0.47189,1.46695,1.97919,1.19633,6.2829e-05,6.2829e-05,6.2829e-05
29,496.342,1.33755,1.3129,1.05091,0.55108,0.7202,0.66199,0.50513,1.45035,1.93467,1.18543,6.2384e-05,6.2384e-05,6.2384e-05
30,511.733,1.37987,1.26566,1.0972,0.55108,0.7202,0.66199,0.50513,1.45035,1.93467,1.18543,6.1741e-05,6.1741e-05,6.1741e-05
31,527.293,1.49377,1.19417,1.06988,0.60474,0.66405,0.71232,0.54711,1.43862,1.9254,1.17056,6.09e-05,6.09e-05,6.09e-05
32,542.226,1.34166,1.19648,0.9929,0.60474,0.66405,0.71232,0.54711,1.43862,1.9254,1.17056,5.9861e-05,5.9861e-05,5.9861e-05
33,557.129,1.2882,1.15057,1.05328,0.48296,0.76616,0.69988,0.53671,1.44341,1.90432,1.1621,5.8624e-05,5.8624e-05,5.8624e-05
34,572.765,1.43595,1.16201,1.02007,0.48296,0.76616,0.69988,0.53671,1.44341,1.90432,1.1621,5.7189e-05,5.7189e-05,5.7189e-05
35,587.279,1.20999,1.14203,1.02047,0.65553,0.68093,0.7283,0.55745,1.44622,1.85167,1.15321,5.5556e-05,5.5556e-05,5.5556e-05
36,602.772,1.27111,1.11393,1.02921,0.65553,0.68093,0.7283,0.55745,1.44622,1.85167,1.15321,5.3725e-05,5.3725e-05,5.3725e-05
37,617.873,1.28861,1.1035,1.00265,0.67239,0.71434,0.75652,0.58579,1.44328,1.78498,1.14542,5.1696e-05,5.1696e-05,5.1696e-05
38,634.059,1.33231,1.08394,1.03143,0.67239,0.71434,0.75652,0.58579,1.44328,1.78498,1.14542,4.9469e-05,4.9469e-05,4.9469e-05
39,649.516,1.22471,1.11263,1.00536,0.67395,0.76509,0.78778,0.62278,1.44036,1.70063,1.14002,4.7044e-05,4.7044e-05,4.7044e-05
40,663.746,1.2679,1.06175,1.02784,0.67395,0.76509,0.78778,0.62278,1.44036,1.70063,1.14002,4.4421e-05,4.4421e-05,4.4421e-05
41,677.665,1.2315,1.23888,1.0202,0.71619,0.73428,0.78602,0.60938,1.44371,1.61333,1.13866,4.16e-05,4.16e-05,4.16e-05
42,691.131,1.3328,1.32173,1.00896,0.71619,0.73428,0.78602,0.60938,1.44371,1.61333,1.13866,3.8581e-05,3.8581e-05,3.8581e-05
43,704.798,1.2845,1.2526,0.99831,0.69183,0.73509,0.78011,0.60555,1.43785,1.53632,1.13578,3.5364e-05,3.5364e-05,3.5364e-05
44,718.322,1.19681,1.16888,0.97426,0.69183,0.73509,0.78011,0.60555,1.43785,1.53632,1.13578,3.1949e-05,3.1949e-05,3.1949e-05
45,732.088,1.1677,1.14084,0.96318,0.6891,0.73543,0.78284,0.60904,1.43682,1.47571,1.13443,2.8336e-05,2.8336e-05,2.8336e-05
46,749.94,1.25537,1.16106,1.02821,0.6891,0.73543,0.78284,0.60904,1.43682,1.47571,1.13443,2.4525e-05,2.4525e-05,2.4525e-05
47,766.691,1.32847,1.18089,1.02073,0.69381,0.74247,0.78833,0.61417,1.42828,1.43955,1.12944,2.0516e-05,2.0516e-05,2.0516e-05
48,783.932,1.28283,1.14153,1.00413,0.69381,0.74247,0.78833,0.61417,1.42828,1.43955,1.12944,1.6309e-05,1.6309e-05,1.6309e-05
49,797.914,1.29569,1.17584,0.98731,0.7087,0.76771,0.79961,0.61339,1.42221,1.42192,1.1258,1.1904e-05,1.1904e-05,1.1904e-05
50,812.469,1.25908,1.14387,0.99955,0.7087,0.76771,0.79961,0.61339,1.42221,1.42192,1.1258,7.301e-06,7.301e-06,7.301e-06
